rowlabel 1 2 3 4 5 6 7 8 9 10 11 12 label
A 0.00 0.03 0.06 0.09 0.12 0.15 0.18 0.21 0.24 0.27 0.30 //// C0
B 0.00 0.03 0.06 0.09 0.12 0.15 0.18 0.21 0.24 0.27 0.30 //// C0
C 0.00 0.03 0.06 0.09 0.12 0.15 0.18 0.21 0.24 0.27 0.30 //// C0
D 0.00 0.03 0.06 0.09 0.12 0.15 0.18 0.21 0.24 0.27 0.30 //// C0
E 0.00 0.03 0.06 0.09 0.12 0.15 0.18 0.21 0.24 0.27 0.30 //// C0
F 0.00 0.03 0.06 0.09 0.12 0.15 0.18 0.21 0.24 0.27 0.30 //// C0
G 0.00 0.03 0.06 0.09 0.12 0.15 0.18 0.21 0.24 0.27 0.30 //// C0
H 0.00 0.03 0.06 0.09 0.12 0.15 0.18 0.21 0.24 0.27 0.30 //// C0
A 0.038 0.119 0.195 0.261 0.344 0.420 0.481 0.574 0.615 0.714 0.748 0.040 M1
B 0.039 0.115 0.192 0.262 0.344 0.415 0.478 0.562 0.601 0.703 0.757 0.042 M1
C 0.040 0.116 0.187 0.269 0.342 0.416 0.484 0.563 0.608 0.698 0.745 0.042 M1
D 0.042 0.117 0.192 0.263 0.343 0.404 0.482 0.543 0.605 0.694 0.754 0.044 M1
E 0.043 0.117 0.192 0.263 0.343 0.407 0.481 0.561 0.616 0.692 0.760 0.042 M1
F 0.044 0.122 0.193 0.270 0.347 0.415 0.481 0.566 0.612 0.706 0.778 0.043 M1
G 0.041 0.116 0.188 0.267 0.344 0.412 0.474 0.567 0.632 0.695 0.783 0.041 M1
H 0.042 0.117 0.190 0.266 0.347 0.420 0.492 0.526 0.624 0.719 0.794 0.042 M1
A 0.301 0.420 0.499 0.534 0.652 0.715 0.730 0.727 0.783 0.786 0.788 0.838 M2
B 0.296 0.402 0.490 0.505 0.612 0.647 0.694 0.708 0.739 0.761 0.769 0.832 M2
C 0.315 0.409 0.515 0.506 0.635 0.690 0.744 0.758 0.791 0.790 0.783 0.801 M2
D 0.306 0.412 0.543 0.574 0.647 0.679 0.738 0.770 0.778 0.840 0.856 0.882 M2
E 0.076 0.082 0.079 0.082 0.092 0.108 0.106 0.118 0.127 0.133 0.144 0.160 M2
F 0.071 0.076 0.080 0.078 0.092 0.097 0.106 0.117 0.129 0.135 0.139 0.152 M2
G 0.062 0.059 0.061 0.069 0.073 0.079 0.089 0.095 0.107 0.115 0.123 0.142 M2
H 0.059 0.057 0.069 0.061 0.073 0.078 0.086 0.095 0.104 0.122 0.121 0.140 M2
A 1.129 0.495 0.416 0.475 0.789 0.806 0.771 0.808 0.777 0.774 0.862 0.191 M3
B 1.092 0.341 0.416 0.464 0.794 0.786 0.769 0.744 0.669 0.760 0.894 0.269 M3
C 1.107 0.308 0.440 0.474 0.783 0.804 0.776 0.767 0.749 0.778 0.860 0.279 M3
D 1.093 0.283 0.349 0.338 0.577 0.680 0.553 0.680 0.618 0.551 0.845 0.119 M3
E 0.060 0.058 0.054 0.054 0.055 0.054 0.055 0.061 0.062 0.057 0.059 0.059 M3
F 0.065 0.059 0.054 0.058 0.056 0.056 0.056 0.056 0.056 0.057 0.056 0.059 M3
G 0.076 0.075 0.075 0.076 0.074 0.072 0.071 0.069 0.070 0.072 0.074 0.077 M3
H 0.075 0.074 0.073 0.073 0.073 0.069 0.073 0.074 0.072 0.072 0.069 0.071 M3
